team,objectID,objectName,objectURL,objectImage,isImage,title,artist,department,isHighlight,classification,medium,culture,period,region,year,yearDecade,yearCentury,yearCenturyInt,yearCenturyMultiple,country,geoCode,continent,tags
cat,545971,"Figurine, cat",https://www.metmuseum.org/art/collection/search/545971,https://images.metmuseum.org/CRDImages/eg/web-large/45.4.6_EGDP014408.jpg,True,Cat,,Egyptian Art,False,,"Cupreous metal, precious metal inlay",,Late Period–Ptolemaic Period,,-664,-670s,6 BC,-600,B.C.,Egypt,c_13,NA,Cats
cat,203392,Toy,https://www.metmuseum.org/art/collection/search/203392,https://images.metmuseum.org/CRDImages/es/web-large/DP-247-001.jpg,True,Cat,Saint James's Factory,European Sculpture and Decorative Arts,False,Ceramics-Porcelain,Soft-paste porcelain,,,,1750,1750s,18 AD,1800,11th to 15th Century,British,c_11,NA,Cats
cat,544118,"Statuette, cat",https://www.metmuseum.org/art/collection/search/544118,https://images.metmuseum.org/CRDImages/eg/web-large/DP245141.jpg,True,Cat Statuette intended to contain a mummified cat,,Egyptian Art,True,,Leaded bronze,,Ptolemaic Period,,-332,-340s,3 BC,-300,B.C.,Egypt,c_13,NA,Cats
cat,49698,Folding fan mounted as an album leaf,https://www.metmuseum.org/art/collection/search/49698,,False,Cat,Zhang Yuguang,Asian Art,False,Paintings,Folding fan mounted as an album leaf; ink and color on paper,China,,,1900,1900s,19 AD,1900,11th to 15th Century,Chinese,c_18,NA,Cats
cat,199446,Figure,https://www.metmuseum.org/art/collection/search/199446,https://images.metmuseum.org/CRDImages/es/web-large/132687.jpg,True,Cat,John Astbury,European Sculpture and Decorative Arts,False,Ceramics-Pottery,Lead-glazed earthenware,,,,1740,1740s,18 AD,1800,11th to 15th Century,NA,NA,NA,Cats
cat,482595,Painting,https://www.metmuseum.org/art/collection/search/482595,,False,Cat,Walasse Ting,Modern and Contemporary Art,False,Paintings,Oil on canvas,,,,1957,1950s,20 AD,2000,16th to 20th Century,American,c_3,NA,Cats
cat,489635,Drawing,https://www.metmuseum.org/art/collection/search/489635,,False,Cat,Tsuguharu Foujita,Modern and Contemporary Art,False,Drawings,Ink on paper,,,,1926,1920s,20 AD,2000,16th to 20th Century,French,c_17,NA,Cats
cat,49470,Hanging scroll,https://www.metmuseum.org/art/collection/search/49470,https://images.metmuseum.org/CRDImages/as/web-large/DP-14880-002.jpg,True,Cat,Wang Li,Asian Art,False,Paintings,Hanging scroll; ink and color on paper,China,Qing dynasty (1644–1911),,1813,1810s,19 AD,1900,11th to 15th Century,Chinese,c_18,NA,NA
cat,486423,Painting,https://www.metmuseum.org/art/collection/search/486423,,False,Woman with a Cat,Fernand Léger,Modern and Contemporary Art,False,Paintings,Oil on canvas,,,,1921,1920s,20 AD,2000,16th to 20th Century,French,c_17,NA,"Female Nudes, Cats"
cat,489980,Sculpture,https://www.metmuseum.org/art/collection/search/489980,,False,The Cat,Alberto Giacometti,Modern and Contemporary Art,False,Sculpture,Bronze,,,,1954,1950s,20 AD,2000,16th to 20th Century,Swiss,c_47,NA,Cats
cat,570749,"Statuette, cat",https://www.metmuseum.org/art/collection/search/570749,https://images.metmuseum.org/CRDImages/eg/web-large/66.99.145_EGDP021821.jpg,True,Cat,,Egyptian Art,False,,Cupreous metal,,Late Period–Ptolemaic Period,,-664,-670s,6 BC,-600,B.C.,Egypt,c_13,NA,Cats
cat,552042,"Figurine, cat",https://www.metmuseum.org/art/collection/search/552042,https://images.metmuseum.org/CRDImages/eg/web-large/17.120.146_EGDP014420.jpg,True,Cat,,Egyptian Art,False,,Cupreous metal,,Late Period–Ptolemaic Period,,-664,-670s,6 BC,-600,B.C.,Egypt,c_13,NA,Cats
cat,570720,"Figurine, cat",https://www.metmuseum.org/art/collection/search/570720,https://images.metmuseum.org/CRDImages/eg/web-large/LC-04_2_473_EGDP031188.jpg,True,Cat,,Egyptian Art,False,,Cupreous metal,,Late Period–Ptolemaic Period,,-664,-670s,6 BC,-600,B.C.,Egypt,c_13,NA,Cats
cat,552027,"Figurine, cat",https://www.metmuseum.org/art/collection/search/552027,https://images.metmuseum.org/CRDImages/eg/web-large/LC-04_2_472_EGDP031195.jpg,True,Cat,,Egyptian Art,False,,Cupreous metal,,Late Period–Ptolemaic Period,,-664,-670s,6 BC,-600,B.C.,Egypt,c_13,NA,Cats
cat,552028,"Figurine, cat",https://www.metmuseum.org/art/collection/search/552028,https://images.metmuseum.org/CRDImages/eg/web-large/LC-04_2_475_EGDP030058.jpg,True,Cat,,Egyptian Art,False,,Cupreous metal,,Late Period–Ptolemaic Period,,-664,-670s,6 BC,-600,B.C.,Egypt,c_13,NA,Cats
cat,570722,"Figurine, cat",https://www.metmuseum.org/art/collection/search/570722,https://images.metmuseum.org/CRDImages/eg/web-large/LC-04_2_479_EGDP030848.jpg,True,Cat,,Egyptian Art,False,,Cupreous metal,,Late Period–Ptolemaic Period,,-664,-670s,6 BC,-600,B.C.,Egypt,c_13,NA,Cats
cat,570737,"Figurine, cat",https://www.metmuseum.org/art/collection/search/570737,https://images.metmuseum.org/CRDImages/eg/web-large/04.2.812_EGDP014436.jpg,True,Cat,,Egyptian Art,False,,Cupreous metal,,Late Period–Ptolemaic Period,,-664,-670s,6 BC,-600,B.C.,Egypt,c_13,NA,Cats
cat,570744,"Figurine, cat",https://www.metmuseum.org/art/collection/search/570744,https://images.metmuseum.org/CRDImages/eg/web-large/30.8.106_EGDP014443.jpg,True,Cat,,Egyptian Art,False,,Cupreous metal,,Late Period–Ptolemaic Period,,-664,-670s,6 BC,-600,B.C.,Egypt,c_13,NA,Cats
