,team,objectID,displayGallery,objectName,objectURL,objectImage,isImage,title,artist,department,isHighlight,classification,medium,culture,period,region,year,yearDecade,yearCentury,yearCenturyInt,yearCenturyMultiple,country,geoCode,continent,tags
0,cat,545971,134,"Figurine, cat",https://www.metmuseum.org/art/collection/search/545971,https://images.metmuseum.org/CRDImages/eg/web-large/45.4.6_EGDP014408.jpg,True,Cat,,Egyptian Art,False,,"Cupreous metal, precious metal inlay",,Late Period–Ptolemaic Period,,-664,-670s,7 BC,-700,B.C.,Egypt,c_13,NA,Cats
1,cat,203392,512,Toy,https://www.metmuseum.org/art/collection/search/203392,https://images.metmuseum.org/CRDImages/es/web-large/DP-247-001.jpg,True,Cat,Saint James's Factory,European Sculpture and Decorative Arts,False,Ceramics-Porcelain,Soft-paste porcelain,,,,1750,1750s,18 AD,1800,16th to 21st Century,British,c_11,NA,Cats
2,cat,544118,134,"Statuette, cat",https://www.metmuseum.org/art/collection/search/544118,https://images.metmuseum.org/CRDImages/eg/web-large/DP245141.jpg,True,Cat Statuette intended to contain a mummified cat,,Egyptian Art,True,,Leaded bronze,,Ptolemaic Period,,-332,-340s,4 BC,-400,B.C.,Egypt,c_13,NA,Cats
3,cat,49698,,Folding fan mounted as an album leaf,https://www.metmuseum.org/art/collection/search/49698,,False,Cat,Zhang Yuguang,Asian Art,False,Paintings,Folding fan mounted as an album leaf; ink and color on paper,China,,,1900,1900s,19 AD,1900,16th to 21st Century,Chinese,c_18,NA,Cats
4,cat,199446,,Figure,https://www.metmuseum.org/art/collection/search/199446,https://images.metmuseum.org/CRDImages/es/web-large/132687.jpg,True,Cat,John Astbury,European Sculpture and Decorative Arts,False,Ceramics-Pottery,Lead-glazed earthenware,,,,1740,1740s,18 AD,1800,16th to 21st Century,NA,NA,NA,Cats
5,cat,482595,,Painting,https://www.metmuseum.org/art/collection/search/482595,,False,Cat,Walasse Ting,Modern and Contemporary Art,False,Paintings,Oil on canvas,,,,1957,1950s,20 AD,2000,16th to 21st Century,American,c_3,NA,Cats
6,cat,489635,,Drawing,https://www.metmuseum.org/art/collection/search/489635,,False,Cat,Tsuguharu Foujita,Modern and Contemporary Art,False,Drawings,Ink on paper,,,,1926,1920s,20 AD,2000,16th to 21st Century,French,c_17,NA,Cats
7,cat,49470,,Hanging scroll,https://www.metmuseum.org/art/collection/search/49470,https://images.metmuseum.org/CRDImages/as/web-large/DP-14880-002.jpg,True,Cat,Wang Li,Asian Art,False,Paintings,Hanging scroll; ink and color on paper,China,Qing dynasty (1644–1911),,1813,1810s,19 AD,1900,16th to 21st Century,Chinese,c_18,NA,NA
8,cat,486423,,Painting,https://www.metmuseum.org/art/collection/search/486423,,False,Woman with a Cat,Fernand Léger,Modern and Contemporary Art,False,Paintings,Oil on canvas,,,,1921,1920s,20 AD,2000,16th to 21st Century,French,c_17,NA,"Female Nudes, Cats"
9,cat,489980,,Sculpture,https://www.metmuseum.org/art/collection/search/489980,,False,The Cat,Alberto Giacometti,Modern and Contemporary Art,False,Sculpture,Bronze,,,,1954,1950s,20 AD,2000,16th to 21st Century,Swiss,c_47,NA,Cats
10,cat,570749,,"Statuette, cat",https://www.metmuseum.org/art/collection/search/570749,https://images.metmuseum.org/CRDImages/eg/web-large/66.99.145_EGDP021821.jpg,True,Cat,,Egyptian Art,False,,Cupreous metal,,Late Period–Ptolemaic Period,,-664,-670s,7 BC,-700,B.C.,Egypt,c_13,NA,Cats
11,cat,552042,,"Figurine, cat",https://www.metmuseum.org/art/collection/search/552042,https://images.metmuseum.org/CRDImages/eg/web-large/17.120.146_EGDP014420.jpg,True,Cat,,Egyptian Art,False,,Cupreous metal,,Late Period–Ptolemaic Period,,-664,-670s,7 BC,-700,B.C.,Egypt,c_13,NA,Cats
